,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日,活動代碼
253,53,綸57482,0,2020/08/01,2021/02/01,
254,54,諺43999,0,2020/08/01,2021/02/01,
255,55,銘91789,0,2020/08/01,2021/02/01,
256,56,享42721,0,2020/08/01,2021/02/01,
257,57,仁06886,0,2020/08/01,2021/02/01,
258,58,志73958,0,2020/08/01,2021/02/01,
259,59,義09555,0,2020/08/01,2021/02/01,
260,60,維15181,0,2020/08/01,2021/02/01,
261,61,寶78036,0,2020/08/01,2021/02/01,
262,62,能38777,0,2020/08/01,2021/02/01,
263,63,煌86943,0,2020/08/01,2021/02/01,
264,64,揚40231,0,2020/08/01,2021/02/01,
265,65,穗47660,0,2020/08/01,2021/02/01, 
266,66,鈊18953,0,2020/08/01,2021/02/01, 
267,67,甄05632,0,2020/09/02,2021/03/02, 
268,1,儒49238,620,2023/03/24,2023/09/24,
269,2,君33056,0,2023/05/13,2023/11/13,
270,3,薏46697,0,2019/05/01,2019/11/01, 
271,4,男02968,0,2019/06/10,2019/12/10, 
272,5,文71585,0,2019/06/14,2019/12/14, 
273,6,錦16765,0,2019/07/23,2020/01/23, 
274,7,呂17617,0,2019/09/14,2020/03/14, 
275,8,婷51127,0,2019/10/11,2020/04/11, 
276,9,真30556,0,2020/07/22,2021/01/22, 
277,10,青24959,0,2020/08/01,2021/02/01,
278,11,達11899,0,2020/08/01,2021/02/01,
279,12,欽49003,0,2020/08/01,2021/02/01, 
280,13,緯34316,0,2020/08/01,2021/02/01,
281,14,玉73273,0,2020/08/01,2021/02/01,
282,15,華34950,0,2020/08/01,2021/02/01,
283,16,銘28652,0,2020/08/01,2021/02/01,
284,17,婷56060,0,2020/08/01,2021/02/01,
285,18,嫥73503,0,2020/08/01,2021/02/01,
286,19,杰99452,0,2020/08/01,2021/02/01,
287,20,年95733,0,2020/08/01,2021/02/01,
288,21,廷43617,0,2020/08/01,2021/02/01,
289,22,充37912,0,2020/08/01,2021/02/01,
290,23,璇52475,0,2020/08/01,2021/02/01,
291,24,宏46555,0,2020/08/01,2021/02/01,
292,25,皓24821,0,2020/08/01,2021/02/01,
293,26,慧97419,0,2020/08/01,2021/02/01,
294,27,衡39683,0,2020/08/01,2021/02/01,
295,28,勳09125,0,2020/08/01,2021/02/01,
296,29,宏79020,0,2020/08/01,2021/02/01,
297,30,佑46879,0,2020/08/01,2021/02/01,
298,31,毅95355,0,2020/08/01,2021/02/01,
299,32,如66533,0,2020/08/01,2021/02/01,
300,33,甫66368,0,2020/08/01,2021/02/01,
301,34,元34802,0,2020/08/01,2021/02/01,
302,35,琳00825,0,2020/08/01,2021/02/01,
303,36,鳴04312,0,2020/08/01,2021/02/01,
304,37,傑32830,0,2020/08/01,2021/02/01,
305,38,展90738,0,2020/08/01,2021/02/01,
306,39,衛57709,0,2020/08/01,2021/02/01,
307,40,善99782,0,2020/08/01,2021/02/01,
308,41,遠15729,0,2020/08/01,2021/02/01,
309,42,涵33051,0,2020/08/01,2021/02/01,
310,43,文33113,0,2020/08/01,2021/02/01,
311,44,賜50437,0,2020/08/01,2021/02/01,
312,45,麟75090,0,2020/08/01,2021/02/01,
313,46,滿98231,0,2020/08/01,2021/02/01,
314,47,綸57482,0,2020/08/01,2021/02/01,
315,48,諺43999,0,2020/08/01,2021/02/01,
316,49,銘91789,0,2020/08/01,2021/02/01,
317,50,享42721,0,2020/08/01,2021/02/01,
318,51,仁06886,0,2020/08/01,2021/02/01,
319,52,志73958,0,2020/08/01,2021/02/01,
320,53,義09555,0,2020/08/01,2021/02/01,
321,54,維15181,0,2020/08/01,2021/02/01,
322,55,寶78036,0,2020/08/01,2021/02/01,
323,56,能38777,0,2020/08/01,2021/02/01,
324,57,煌86943,0,2020/08/01,2021/02/01,
325,58,揚40231,0,2020/08/01,2021/02/01,
326,59,穗47660,0,2020/08/01,2021/02/01, 
327,60,鈊18953,0,2020/08/01,2021/02/01, 
328,61,甄05632,0,2020/09/02,2021/03/02, 
329,62,賓11339,0,2020/10/28,2021/04/28, 
330,63,宇34087,0,2021/12/11,2022/06/11,
331,64,貿51262,0,2022/08/16,2023/02/16,
332,65,峰06741,0,2022/08/15,2023/02/15,
333,66,智65975,0,2022/11/26,2023/05/26, 
334,67,珊20911,0,2023/02/26,2023/08/26,
335,1,儒49238,720,2023/03/24,2023/09/24,
336,2,君33056,0,2023/05/13,2023/11/13,
337,3,薏46697,0,2019/05/01,2019/11/01, 
338,4,男02968,0,2019/06/10,2019/12/10, 
339,5,文71585,0,2019/06/14,2019/12/14, 
340,6,錦16765,0,2019/07/23,2020/01/23, 
341,7,呂17617,0,2019/09/14,2020/03/14, 
342,8,婷51127,0,2019/10/11,2020/04/11, 
343,9,真30556,0,2020/07/22,2021/01/22, 
344,10,青24959,0,2020/08/01,2021/02/01,
345,11,達11899,0,2020/08/01,2021/02/01,
346,12,欽49003,0,2020/08/01,2021/02/01, 
347,13,緯34316,0,2020/08/01,2021/02/01,
348,14,玉73273,0,2020/08/01,2021/02/01,
349,15,華34950,0,2020/08/01,2021/02/01,
350,16,銘28652,0,2020/08/01,2021/02/01,
351,17,婷56060,0,2020/08/01,2021/02/01,
352,18,嫥73503,0,2020/08/01,2021/02/01,
353,19,杰99452,0,2020/08/01,2021/02/01,
354,20,年95733,0,2020/08/01,2021/02/01,
355,21,廷43617,0,2020/08/01,2021/02/01,
356,22,充37912,0,2020/08/01,2021/02/01,
357,23,璇52475,0,2020/08/01,2021/02/01,
358,24,宏46555,0,2020/08/01,2021/02/01,
359,25,皓24821,0,2020/08/01,2021/02/01,
360,26,慧97419,0,2020/08/01,2021/02/01,
361,27,衡39683,0,2020/08/01,2021/02/01,
362,28,勳09125,0,2020/08/01,2021/02/01,
363,29,宏79020,0,2020/08/01,2021/02/01,
364,30,佑46879,0,2020/08/01,2021/02/01,
365,31,毅95355,0,2020/08/01,2021/02/01,
366,32,如66533,0,2020/08/01,2021/02/01,
367,33,甫66368,0,2020/08/01,2021/02/01,
368,34,元34802,0,2020/08/01,2021/02/01,
369,35,琳00825,0,2020/08/01,2021/02/01,
370,36,鳴04312,0,2020/08/01,2021/02/01,
371,37,傑32830,0,2020/08/01,2021/02/01,
372,38,展90738,0,2020/08/01,2021/02/01,
373,39,衛57709,0,2020/08/01,2021/02/01,
374,40,善99782,0,2020/08/01,2021/02/01,
375,41,遠15729,0,2020/08/01,2021/02/01,
376,42,涵33051,0,2020/08/01,2021/02/01,
377,43,文33113,0,2020/08/01,2021/02/01,
378,44,賜50437,0,2020/08/01,2021/02/01,
379,45,麟75090,0,2020/08/01,2021/02/01,
380,46,滿98231,0,2020/08/01,2021/02/01,
381,47,綸57482,0,2020/08/01,2021/02/01,
382,48,諺43999,0,2020/08/01,2021/02/01,
383,49,銘91789,0,2020/08/01,2021/02/01,
384,50,享42721,0,2020/08/01,2021/02/01,
385,51,仁06886,0,2020/08/01,2021/02/01,
386,52,志73958,0,2020/08/01,2021/02/01,
387,53,義09555,0,2020/08/01,2021/02/01,
388,54,維15181,0,2020/08/01,2021/02/01,
389,55,寶78036,0,2020/08/01,2021/02/01,
390,56,能38777,0,2020/08/01,2021/02/01,
391,57,煌86943,0,2020/08/01,2021/02/01,
392,58,揚40231,0,2020/08/01,2021/02/01,
393,59,穗47660,0,2020/08/01,2021/02/01, 
394,60,鈊18953,0,2020/08/01,2021/02/01, 
395,61,甄05632,0,2020/09/02,2021/03/02, 
396,62,賓11339,0,2020/10/28,2021/04/28, 
397,63,宇34087,0,2021/12/11,2022/06/11,
398,64,貿51262,0,2022/08/16,2023/02/16,
399,65,峰06741,0,2022/08/15,2023/02/15,
400,66,智65975,0,2022/11/26,2023/05/26, 
